ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender,price_per_ml,price_per_ml_clip,combined_notes,price_log,notes_token_count,cluster
HRMN-0001,glitch,Mykonos,249000.0,50.0,Xdp,"sicilian bergamot, apple, grapefruit, charred pineapple","lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine","white musk, cedarwood, moss, amber, patchouli, smoky notes",Day,Unisex,4980.0,4980.0,"sicilian bergamot, apple, grapefruit, charred pineapple, lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine, white musk, cedarwood, moss, amber, patchouli, smoky notes",12.425212191503038,16,5
HRMN-0002,invade,Mykonos,249000.0,50.0,Xdp,"pink pepper, lavender absolute, juniper","cashmeran, cinnamon bark, caramel","amber, madagascar vanilla, drywoods",Night,Unisex,4980.0,4980.0,"pink pepper, lavender absolute, juniper, cashmeran, cinnamon bark, caramel, amber, madagascar vanilla, drywoods",12.425212191503038,9,2
HRMN-0003,Cafe Drops,Mykonos,189000.0,50.0,Xdp,"orchid, jasmine, coffee","vanilla, caramel, tonka bean, milk","amber, musk, wood, patchouli",Night,Unisex,3780.0,3780.0,"orchid, jasmine, coffee, vanilla, caramel, tonka bean, milk, amber, musk, wood, patchouli",12.149507585033072,11,3
HRMN-0004,Pink Drops,Mykonos,189000.0,50.0,Xdp,"strawberry preserve, almond, caramel","milk, heliotrope","vanilla, white musk",Night,Female,3780.0,3780.0,"strawberry preserve, almond, caramel, milk, heliotrope, vanilla, white musk",12.149507585033072,7,1
HRMN-0005,Pandan Sticky Rice,Mykonos,169000.0,50.0,Xdp,"rice, almond, lactonic","jasmine, ylang ylang, iily of the valley, pandan","ambery, vanilla, sandalwood",Versatile,Unisex,3380.0,3380.0,"rice, almond, lactonic, jasmine, ylang ylang, iily of the valley, pandan, ambery, vanilla, sandalwood",12.037659911047468,10,0
HRMN-0006,Down to Earth,Mykonos,169000.0,50.0,Xdp,"fig, matcha green tea, bergamot, incense, cinnamon","cashmere wood, orange, figolide, milky, orcanox","vetiver, sandalwood, santamanol, cedar",Night,Male,3380.0,3380.0,"fig, matcha green tea, bergamot, incense, cinnamon, cashmere wood, orange, figolide, milky, orcanox, vetiver, sandalwood, santamanol, cedar",12.037659911047468,14,4
HRMN-0007,Tea Poetry,Mykonos,299000.0,100.0,Xdp,"rose, jasmine, ylang ylang","candied fruit, balsam, orange flower, pepper, smoked black tea","honey, smoked black tea, cedarwood",Versatile,Female,2990.0,2990.0,"rose, jasmine, ylang ylang, candied fruit, balsam, orange flower, pepper, smoked black tea, honey, smoked black tea, cedarwood",12.608202196848836,11,0
HRMN-0008,Milk Drops,Mykonos,199000.0,50.0,Xdp,"floral bouquet, milk","milk, green notes","tonka bean, white musk, white wood",Versatile,Unisex,3980.0,3980.0,"floral bouquet, milk, milk, green notes, tonka bean, white musk, white wood",12.201065128819632,7,3
HRMN-0009,Utopia,Mykonos,299000.0,100.0,Xdp,"calabrian bergamot, white tea, fruits, citrus","iris, jasmine sambac, ylang ylang","cedarwood, white musk",Versatile,Unisex,2990.0,2990.0,"calabrian bergamot, white tea, fruits, citrus, iris, jasmine sambac, ylang ylang, cedarwood, white musk",12.608202196848836,9,0
HRMN-0010,Intimate,Mykonos,299000.0,100.0,Xdp,"raspberry sorbet, pink pepper","rose, peony, patchouli","vanilla, cashemere",Night,Female,2990.0,2990.0,"raspberry sorbet, pink pepper, rose, peony, patchouli, vanilla, cashemere",12.608202196848836,7,2
HRMN-0011,Sparkling Rose,Mykonos,299000.0,100.0,Xdp,"damask rose, orange, geranium","may rose, sparkling red berries, plum, sandalwood","patchouli, amber, guaiac wood, musk",Day,Female,2990.0,2990.0,"damask rose, orange, geranium, may rose, sparkling red berries, plum, sandalwood, patchouli, amber, guaiac wood, musk",12.608202196848836,11,1
HRMN-0012,Pistachio Cream Cake,Mykonos,139000.0,50.0,Edp,"whipped cream accord, pistachio, crumble accord","praline, ice cream","orcanox, musk, tonka bean",Versatile,Unisex,2780.0,2780.0,"whipped cream accord, pistachio, crumble accord, praline, ice cream, orcanox, musk, tonka bean",11.842236406331555,8,3
HRMN-0013,Paradise,Mykonos,149000.0,50.0,Edp,"coconut, mandarin orange, pear, pineapple","frangipani, jasmine, lily","amber, vanilla, woody",Day,Unisex,2980.0,2980.0,"coconut, mandarin orange, pear, pineapple, frangipani, jasmine, lily, amber, vanilla, woody",11.91170829631447,10,5
HRMN-0014,Musk Aura,Mykonos,279000.0,100.0,Edp,"bergamot, yuzu, apple","lily of the valley, sambac jasmine, ylang ylang","amber, musk, citrus, nectarine",Versatile,Unisex,2790.0,2790.0,"bergamot, yuzu, apple, lily of the valley, sambac jasmine, ylang ylang, amber, musk, citrus, nectarine",12.53897064502647,10,0
HRMN-0015,Rouge,Mykonos,169000.0,50.0,Edp,"green pear, lemon blossom","lily of the valley, ambrette, violet, orris","orcanox, musks",Day,Female,3380.0,3380.0,"green pear, lemon blossom, lily of the valley, ambrette, violet, orris, orcanox, musks",12.037659911047468,8,5
HRMN-0016,Sansa,Mykonos,279000.0,100.0,Edp,"moss, peach, black tea, osmanthus","rose, tuberose, narcissus, toffee","cedarwood, orris root, vetiver, dark chocolate",Night,Unisex,2790.0,2790.0,"moss, peach, black tea, osmanthus, rose, tuberose, narcissus, toffee, cedarwood, orris root, vetiver, dark chocolate",12.53897064502647,12,1
HRMN-0017,Aphrodite,Mykonos,169000.0,50.0,Edp,"jasmine, burnt cinnamon, myrrh","cedarwood, tonka bean, sandalwood","white musk, tobac, vanilla, mineral amber",Night,Unisex,3380.0,3380.0,"jasmine, burnt cinnamon, myrrh, cedarwood, tonka bean, sandalwood, white musk, tobac, vanilla, mineral amber",12.037659911047468,10,3
HRMN-0018,Caramel Fudge,Mykonos,149000.0,50.0,Edp,"cookie dough, caramel, vanilla","caramel, condensed milk, sea salt","white musk, vanilla, caramel, praline",Night,Unisex,2980.0,2980.0,"cookie dough, caramel, vanilla, caramel, condensed milk, sea salt, white musk, vanilla, caramel, praline",11.91170829631447,10,1
HRMN-0019,XoXo Rosy,Mykonos,149000.0,50.0,Edp,"turkish rose, pink pepper, green notes","turkish rose, rose petals, orange jam, red berries","amber, musk, rose",Versatile,Female,2980.0,2980.0,"turkish rose, pink pepper, green notes, turkish rose, rose petals, orange jam, red berries, amber, musk, rose",11.91170829631447,10,2
HRMN-0020,Matcha Latte,Mykonos,169000.0,50.0,Xdp,"matcha tea, white chocolate","jasmine, tonka bean","vanilla, milk",Night,Unisex,3380.0,3380.0,"matcha tea, white chocolate, jasmine, tonka bean, vanilla, milk",12.037659911047468,6,3
